No	채널명	구독자수	전체 비디오개수	누적 조회수	비디오 제목	비디오 조회수	비디오 좋아요	카테고리	촬영지역	세부 지역	키워드	설명	업로드일자	썸네일	videoURL	videoPath	audioPath
1	올스티비	1.77만명	-	-	요즘 대세  제주도 HOT 신상 호텔을 소개합니다  제주 시내부터 애월까지 따끈따끈 신상 호텔 BEST3 	67611	349	호텔	제주도	-	제주 호텔,제주도 호텔,제주 신상 호텔,신상 호텔,제주도 호캉스,제주도 가성비 호텔 추천,제주도 5성급호텔,제주 럭셔리 호텔,애월 호텔,애월 호텔 추천,애월 신상 호텔,애월 가성비 호텔,제주 가성비 호텔 추천,제주 가성비 호텔,서귀포 호텔,서귀포 호텔 추천,중문 호텔,중문 호텔 추천,제주 시내 호텔,제주 시내호텔 추천	 영상 속  제주호텔 최저가 확인하기 00:13 중문에 위치한 럭셔리 호텔 https://alst io/ht2 01:43 제주 시내에 위치한 초고층 호텔 https://alst io/ht1 03:16 애월 오션뷰를 즐길 수 있는 갓성비 호텔 https://alst io/ht3 제주도에 새롭게 오픈한 따끈 따끈 신상 호텔들 제주 각 지역별 HOT 신상호텔들을 만나보세요 인기 관광지 중문부터 제주 시내  그리고 오션뷰를 자랑하는 애월까지 영상에서 확인해주세요 	2021-02-20 00:00:00	https://i.ytimg.com/vi/_0JnvcYEORc/sddefault.jpg	https://www.youtube.com/watch?v=_0JnvcYEORc	요즘 대세  제주도 HOT 신상 호텔을 소개합니다  제주 시내부터 애월까지 따끈따끈 신상 호텔 BEST3.mp4	요즘 대세  제주도 HOT 신상 호텔을 소개합니다  제주 시내부터 애월까지 따끈따끈 신상 호텔 BEST3.mp3
2	손공주 Reina	1.57천명	-	-	 VLOG  그랜드 하얏트 제주 호캉스 둘째날 조식 먹고 코너 스위트룸으로 이동  호캉스 제대로 즐기기  헬스장  클럽라운지  수영장  룸서비스  드림타워까지 모두 담아봤습니다 	716	19	호텔	제주도	-	그랜드하얏트제주,호캉스브이로그,커플브이로그,그랜드하얏트제주룸서비스,그랜드하얏트제주코너스위트룸,그랜드하얏트제주클럽라운지	안녕하세요 손공주입니다 제주 호캉스 2탄 둘째날도 호텔에서 한발자국도 안 나가고 하루를 보냈어요 그랜드 하얏트 제주의 모든 것 까지는 아니더라도 을 제가 느낀 그대로 담아봤습니다 instagram : https://www instagram com/narae v/ blog : https://blog naver com/jks snr 0310 그랜드하얏트제주  호캉스브이로그  그랜드하얏트코너스위트  그랜드하얏트클럽라운지	2022-01-24 00:00:00	https://i.ytimg.com/vi/_LN0uZoQp5s/hqdefault.jpg	https://www.youtube.com/watch?v=_LN0uZoQp5s	 VLOG  그랜드 하얏트 제주 호캉스 둘째날 조식 먹고 코너 스위트룸으로 이동  호캉스 제대로 즐기기  헬스장  클럽라운지  수영장  룸서비스  드림타워까지 모두 담아봤습니다.mp4	 VLOG  그랜드 하얏트 제주 호캉스 둘째날 조식 먹고 코너 스위트룸으로 이동  호캉스 제대로 즐기기  헬스장  클럽라운지  수영장  룸서비스  드림타워까지 모두 담아봤습니다.mp3
3	수록 soolog		-	-	sub  나혼자  뚜벅이 제주여행     1인실호텔   혼자 사진 어떻게 찍냐구요    렌트카 없이 안돌오름 정복하기 	15255	161	호텔	제주도	-		 제주여행 제주VLOG 제주카페 뚜벅이여행 혼자여행 1인실호텔 카페투어 플레이스캠프 비밀의숲 안돌오름 성산일출봉 오른 아녜스의앞치마 디앤디파트먼트 에이팩토리카페 유메이우동 데일리룩 제주맛집 Music by  irg   falling for u  feat  Brady James    https://thmatc co/ l B6FDD519 Music by Jeffrey Lenh   idk   https://thmatc co/ l 4E6D043E	2022-02-06 00:00:00	https://i.ytimg.com/vi/_MS54BiBnfg/sddefault.jpg	https://www.youtube.com/watch?v=_MS54BiBnfg	sub  나혼자  뚜벅이 제주여행     1인실호텔   혼자 사진 어떻게 찍냐구요    렌트카 없이 안돌오름 정복하기.mp4	sub  나혼자  뚜벅이 제주여행     1인실호텔   혼자 사진 어떻게 찍냐구요    렌트카 없이 안돌오름 정복하기.mp3
4	필드민	1.36만명	-	-	가성비 호캉스   호텔 조식 뷔페   신라스테이  feat 민트초코 	13937	185	호텔	제주도	-	신라스테이,호텔뷔페,조식뷔페,신라스테이광화문,가성비호캉스,가성비호텔,신라스테이뷔페,신라스테이조식,신라스테이광화문조식,신라스테이광화문뷔페,가성비호텔뷔페,혼캉스	 신라스테이  신라스테이광화문  호텔뷔페 안녕하세요  필드민입니다 오늘 영상은  가성비 에 초점을 맞춘 호캉스   호텔 조식 뷔페 후기인데요 많은 분들이 잘 알고 계실 신라스테이랍니다 저는 신라스테이 광화문점을 다녀왔구요 특히 2022년을 맞이하여 조식 뷔페에 신메뉴가 등장했다고 해서 영상에 담아보았어요 가성비 좋은 호캉스를 즐기며 조식 뷔페까지 이용해본 자세한 후기는 영상을 통해 확인해주세요 시청해주셔서 감사합니다  이메일 field min02 gmail com  인스타 https://www instagram com/field min/ BGM info Music provided by 브금대통령 Track : Early Night   https://youtu be/RDH9daKAD2A	2022-01-09 00:00:00	https://i.ytimg.com/vi/_QZ_Al9a-VQ/sddefault.jpg	https://www.youtube.com/watch?v=_QZ_Al9a-VQ	가성비 호캉스   호텔 조식 뷔페   신라스테이  feat 민트초코.mp4	가성비 호캉스   호텔 조식 뷔페   신라스테이  feat 민트초코.mp3
5	로디유TV -  RodiYou와 일상타파	143명	-	-	제주 서귀포 월드컵경기장 주변 가성비 좋은 호텔 TOP4	9208	70	호텔	제주도	-	제주도,제주도호텔,서귀포,서귀포호텔,제주여행,타마라호텔,비스타케이호텔,벨류호텔,원스카이호텔,벨류호텔서귀포JS,제주월드컵경기장,이마트서귀포점,제주도가성비좋은호텔,jeju	신서귀포 월드컵경기장 주변 호텔 TOP4 비스타케이호텔서귀포 제주 서귀포시 김정문화로41번길 10 6 타마라호텔 제주 서귀포시 김정문화로41번길 10 8 윈스카이호텔 제주 서귀포시 신중남로 17 벨류호텔서귀포JS 제주 서귀포시 김정문화로 51 제주도호텔  서귀포호텔  jeju  제주도여행  비스타케이호텔서귀포  타마라호텔  윈스카이호텔  벨류호텔서귀포JS  제주도  서귀포  서귀포호텔	2021-10-26 00:00:00	https://i.ytimg.com/vi/_WTX-M27tDs/sddefault.jpg	https://www.youtube.com/watch?v=_WTX-M27tDs	제주 서귀포 월드컵경기장 주변 가성비 좋은 호텔 TOP4.mp4	제주 서귀포 월드컵경기장 주변 가성비 좋은 호텔 TOP4.mp3
6	몽몽MongMong	1.84천명	-	-	제주도에서 가장 핫한 호텔 그랜드조선 제주 호캉스 후기  수영장부터 식음시설까지 모든 컨텐츠 분석	19664	135	호텔	제주도	-	그랜드조선 제주,제주 그랜드조선,그랜드조선제주,그랜드조선 제주 호캉스,그랜드조선 제주 후기,제주도호텔,제주도5성급호텔,제주도 중문 호텔,제주도 호캉스,제주도 핫플,제주도 신상호텔,중문관광단지,이국느낌 호텔,신상호텔 호캉스,신상호텔 후기,제주 아리아,호텔 수영장,수영장 호텔	1월 8일 제주도에 오픈한 따끈따끈한 신상 5성급 호텔 그랜드조선 제주에 다녀왔어요  직접 숙박하며 찍은 호캉스 후기입니다 롯데와 신라 등 쟁쟁한 호텔이 있는 중문관광단지에 오픈했는데요  마찬가지로 5성급이어서 럭셔리 호텔의 선택의 폭을 넓혀주었습니다  호텔은 6층의 규모로 되어 있고  넓은 수영장과 정원이 이국적인 분위기를 연출해 주는 곳이에요  해외 여행 가기 힘들어진 요즘에 이런 뷰는 더욱 더 소중하네요 가장 인상적이었던건 개방감 넘치는 로비였습니다  호텔 중앙부가 전부 뚫려 있어서 멋진 뷰를 선사하더라고요  이 공간에서는 라이브공연도 펼쳐져서 가끔씩 내려와서 즐기기에 좋았습니다 저는 디럭스 트윈룸 풀사이드뷰에 묵었는데요  룸에 있는 시설도 당연히 좋았고  풀사이드뷰는 야자수 덕분에 한국이 아닌 느낌을 계속해서 주었어요  참 편하게 쉬었던 룸이었습니다 핵심 컨텐츠 중 하나인 수영장은 실내와 실외가 이어지게 설치되어 있어요  온수풀이어서 겨울에도 따뜻하게 즐기기 좋았습니다  성인 전용의 수영장인 피크포인트 풀은 옥상에 있어요  마찬가지로 루브리카 레스토랑도 옥상에 있습니다  1층에는 조선델리  라운지앤바  아리아 뷔페가 있어요  저는 아리아를 조식 뷔페로 이용했는데 메뉴도 많았고  키즈 스테이션이 따로 설치되어 있는 특색있는 뷔페였습니다 정말 잘 쉬다가 온 그랜드조선 제주 호캉스였기에  모든 컨텐츠를 분석하면서 추천하겠습니다 그랜드조선 제주 5성급 호텔 주소 : 제주특별자치도 서귀포시 중문관광로72번길 60 전화번호 : 064 738 6600 체크인 오후 3시  체크아웃 낮 12시 아리아 조식 가격 정보 성인 55 000원 / 어린이 33 000원	2021-01-22 00:00:00	https://i.ytimg.com/vi/_XAGLk7WGT0/sddefault.jpg	https://www.youtube.com/watch?v=_XAGLk7WGT0	제주도에서 가장 핫한 호텔 그랜드조선 제주 호캉스 후기  수영장부터 식음시설까지 모든 컨텐츠 분석.mp4	제주도에서 가장 핫한 호텔 그랜드조선 제주 호캉스 후기  수영장부터 식음시설까지 모든 컨텐츠 분석.mp3
7	Traveler ha_mang_	593명	-	-	제주숙소리뷰 19   비양도를 품은 오션뷰 럭셔리 풀빌라  게으른 노을  내돈내산  독채숙소  감성숙소	789	좋아요	호텔	제주도	-		오션뷰  그것도 비양도가 한눈에 보이는 바다 코앞 오션뷰 온수 풀빌라 제주 감성숙소는 많지만 생각보다 이렇게 바다가 코앞에 있는 감성숙소는 생각보다 많이 없는데요 눈앞에 가리는 것 하나없이 뻥 뚫린 오션뷰를 즐길 수 있는 오늘의 우리집 지금 같이 만나러 가보실까요 	2022-03-04 00:00:00	https://i.ytimg.com/vi/_XLzViV-w5Y/hqdefault.jpg	https://www.youtube.com/watch?v=_XLzViV-w5Y	제주숙소리뷰 19   비양도를 품은 오션뷰 럭셔리 풀빌라  게으른 노을  내돈내산  독채숙소  감성숙소.mp4	제주숙소리뷰 19   비양도를 품은 오션뷰 럭셔리 풀빌라  게으른 노을  내돈내산  독채숙소  감성숙소.mp3
8	Ryeongz령즈		-	-	반려견동반 제주도 여행  2   제주 서쪽 코스  독채 에어비앤비 숙소   신상 카페투어	737	24	호텔	제주도	-	애견동반 제주도,애견동반 제주도여행,제주에어비앤비,제주독채숙소,제주독채민박,제주도 가볼만한 곳,제주 애견동반,강아지 제주도,제주도 애견동반,제주도 강아지,강아지 제주도 여행,강아지 여행,제주도 애견동반 숙소,제주 애견동반 숙소,제주도 신상카페	제주여행 2편 입니다 저희가 방문한 곳은 애견동반이 가능한 곳이였고 안되는 곳은 아래에 표시해두었어요 실내동반 시에는 꼭 이동가방 및 하네스 끈을 지참해주세요 반려견 동반여부는 변경될 수 있으니 꼭꼭 문의 후 방문해주세요 :  제주여행  한라산 1100고지   입구쪽은 강아지와 갈 수 있으나  한라산은  반려견 동반 불가입니다  카페 두갓   화순 한가네 식당   흑돼지 두루치기   카페 이정의댁  성이시돌목장  제주 돗   흑돼지 전문   영상에 돛으로 잘못표기했어요    제주 돗  추천추천 또 추천  노티드 도넛   네이버 또는 인스타그램 전날  꼭 예약하고 찾으러 가세요  카페 사분의 이  곽지국시   고기국수   곽지국수/멸치베이스 도 너무 맛있었어요    카페 오롬마르  칠돈가 유수암점   흑돼지 전문   애견동반식당 아닙니다  전화 문의하고 방문했어요  곽지과물해변  카페 로우하이  새별오름  오쿠다   전복요리 전문점   카페 고을목  한담해안산책로  제주 서쪽 숙소  에어비앤비로 예약한 독채  복층  펜션 스테이 더 포레스트 입니다 그럼 부족한 영상이지만 재미있게 봐주시기 바랍니다 구독   좋아요는 아주 큰 힘이 된답니다  :  흰둥이 메시 화이트푸들   11살   수컷 시력을 모두 잃어 앞이 보이지 않는 강아지입니다 비록 앞이 보이지는 않지만 누나만 있다면 어디든 갈 수 있는 용감한 댕댕이에요  깜둥이 니니 블랙푸들   6살   수컷 싸가지는 없지만 댕청하구 샘은 많은데 예쁨 받을 줄 아는 쌔까맣고 흰수염 난 댕댕이 입니다 	2022-02-27 00:00:00	https://i.ytimg.com/vi/-8am5ZXSnM0/hqdefault.jpg	https://www.youtube.com/watch?v=-8am5ZXSnM0	반려견동반 제주도 여행  2   제주 서쪽 코스  독채 에어비앤비 숙소   신상 카페투어.mp4	반려견동반 제주도 여행  2   제주 서쪽 코스  독채 에어비앤비 숙소   신상 카페투어.mp3
9	헬로우타이 hellothai		-	-	제주도 백종원 더본호텔 장단점   가격 조식 룸 식당 편의시설 커피숍 총정리	20431	141	호텔	제주도	-	제주도 백종원 더본호텔 장단점,제주,제주도,제주여행,제주도여행,제주도맛집,더본호텔,제주도호텔,제주도 더본호텔,더본호텔 조식,더본호텔가격,더본호텔 식당,더본호텔 예약 방법,더본호텔 백종원,더본호텔 조식가격,더본호텔 조식 시간,더본호텔 탐모라,더본호텔 숙박비,백종원 더본호텔,제주도 백종원 호텔 더본 가격 조식,제주도 백종원 호텔 조식,제주도 더본호텔 조식,제주도 더본호텔 가격,제주도 더본호텔 백종원,더본호텔 스위트,제주도여행 숙소,제주도 백종원,제주도 한달살기,더본호텔 본가,더본호텔 뷔페,제주여행 꿀팁,제주여행 추천코스,제주여행 브이로그,제주도 백종원호텔,제주도 브이로그,제주도여행 꿀팁,제주도 백종원 호텔 돈까스,더본호텔 조식 예약,더본호텔 연돈,제주도 백종원랜드,더본호텔 탐모락,제주도 맛집,제주 여행지,제주 여행지 추천,제주 여행 팁,본호텔 조식	제주도 백종원 더본호텔 장단점   가격 조식 룸 식당 편의시설 커피숍 총정리 저는 직접 사용한 후기만 올립니다 사진으로만 편집한 내용을 보내드리지 않습니다 영상을 믿고 시청하셔도 좋습니다 이번에 소개해 드릴 호텔은 현재 대한민국에서 가장 핫한 호텔인 제주도 서귀포에 위치한 조식이 아주 유명한 백종원 더본호텔 장단점 리뷰 영상입니다 더본호텔 장단점 가격 조식 룸 식당 편의시설 등을 자세히 리뷰하니 많은 관심 부탁드립니다  감사합니다 Baek Jong won Jeju Island The Bon Hotel Pros and Cons Prices Breakfast Room Restaurant Amenities General Summary The hotel I will introduce this time is Jeju Island  which is currently the hottest in Korea This is a review video of the Baek Jong won Hotel in Seogwipo  where the breakfast is very famous We look forward to a detailed review of the advantages and disadvantages of The Born Hotel 여행 더많은 정보를 얻으려면 https://www youtube com/c/헬로우타이hellothai 비즈니스 문의 : armyfriends naver com 인스타그램 :  happyvirus taehee music 노래 Piano Inspiration Kit 아티스트 stockmusic cat https://audiojungle net/ 이미지 출처 : https://kr 123rf com 제작자 : dudlajzov  제작자 : Noppasin Wongchum http://hoteltheborn com/ 백종원 제주도 더본호텔	2020-11-09 00:00:00	https://i.ytimg.com/vi/-dvJWNplo6A/sddefault.jpg	https://www.youtube.com/watch?v=-dvJWNplo6A	제주도 백종원 더본호텔 장단점   가격 조식 룸 식당 편의시설 커피숍 총정리.mp4	제주도 백종원 더본호텔 장단점   가격 조식 룸 식당 편의시설 커피숍 총정리.mp3
10	Daily Joy조이		-	-	4박5일 제주도 여행 브이로그    나만 알고싶은 찐맛집   예약제카페   서귀포 가볼만한 곳   엄마랑 제주여행   Jeju vlog	153628	1.4천	호텔	제주도	-	제주도브이로그,데일리조이,dailyjoy,조이브이로그,조이,여행브이로그,joyvlog,브이로그,대학생브이로그,일상브이로그,제주,제주여행,제주도맛집,제주맛집,제주도카페,서귀포맛집,서귀포카페,제주도찐맛집,일상,대학생,자취브이로그,겟레디윗미,제주도4박5일,모녀여행,봄옷하울,vlog,VLOG,제주도,제주시맛집,서귀포,직장인브이로그,천짓골식당,오는정김밥,미남미녀,제주도예약제카페,제주도오마카세,구르메스시,제주도스시,제주도폭포,소정방폭포,중문색달해변,더클리프,제주도호텔,제주도숙소,서귀포여행	 :  joysop https://www instagram com/ joysop/   : chlwlrus naver com  본 영상은 유료광고를 포함하지 않습니다 안녕하세요 여러분: 한 주 쉬었는데 굉장히 오랜만인 것 같은 너낌이네요 저는 이번주 새로운 편집 프로그램에 공부하고 적응하느라 아주 애 먹었어요 그 과정으로 인해 며칠밤을 새서 만든 제주 영상입니다 ㅠㅠ 기다려줘서 고마워요  이번 영상은 2월초에 엄마와 둘이 떠난 제주도 여행 브이로그인데요 영상 텀이 조금 길었던 만큼 4박5일 여행 꾹꾹 눌러담아 분량 넉넉하게 가져왔어요 제주도 가면 늘 재방문 하는 맛집도 가고 엄마랑 꼭 가고싶었던 맡김차림 식당도 가고 예약제 카페도 다녀오고 꽃구경 바다구경도 하고 넘나 여유롭고 힐링되는 여행이였답니다  오지게 먹기만 했다는 뜻 아무튼 이번 영상도 재밌게 봐주시고 다음 영상에서 또 만나요  감사합니다    영상 속 맛집과 숙소 오는정김밥 : 서귀포시 동문동로 2 천짓골식당 : 서귀포시 중앙로 41번길 4 서귀포올레시장 윈스카이호텔 : 서귀포시 신중남로 17 중문색달해변 미남미녀 : 서귀포시 색달중앙로 55번길 22 구르메스시 : 서귀포시 신서로 48길 59 서귀포 소정방폭포 벙커하우스 : 서귀포시 막숙포로41번길 66 제스토리 소품샵  : 서귀포시 막숙포로 60 한라전복 : 서귀포시 대정읍 대한로 33 산방산 유채꽃밭 용머리해안 커피스케치 : 서귀포시 안덕면 사계남로216번길 24 32 군산오름 귤꽃 : 제주시 조천읍 함덕2길 90 참녀네집 : 제주시 구좌읍 김녕리 6145 리젠트마린 제주호텔 : 제주시 서부두2길 20 제주동문시장 아베베 베이커리  옷 정보 day1 Top: SWEET ONE EIGHTY https://m shopping naver com/designer/stores/100119997/products/6032262470 NaPm ct 3Dkzv7wn8r 7Cci 3Dshopn 7Ctr 3Dsmnp 7Chk 3D2c3d5f19533502ad91d83e2bd0fdc83d48a70403 7Ctrx 3Dundefined Bottoms: SWEET ONE EIGHTY https://m shopping naver com/designer/stores/100119997/products/6032800775 NaPm ct 3Dkzv7y4kb 7Cci 3Dshopn 7Ctr 3Dsmnp 7Chk 3D50e4f848c9e1250bf29be7be2c6f9a341816a815 7Ctrx 3Dundefined Outer: MOLLIOLLI https://m molliolli com/product/molliolli mare eco fur coat sky blue/190/category/25/display/1/ Shose: UGG https://www balaan co kr/m2/goods/view php goodsno 9993003 Bag: MUTEMUSE http://m mute muse com/product/detail html product no 278 cate no 99 display group 1 day2 Homewear: 아이앰앨리스 http://m iamalice net/product/ EB 82 AD EB 82 AD ED 95 8F EB 8F 84 ED 8A B8 ED 8C 8C EC 9E 90 EB A7 88/13877/category/25/display/1/ Outer: MOLLIOLLI https://m molliolli com/product/molliolli mare eco fur coat sky blue/190/category/25/display/1/ Dress: 러브썸원  판매중지 Gloves: ROCKFISH WEATHERWEAR https://www 29cm co kr/product/1265111 Bag: MUTEMUSE http://m mute muse com/product/detail html product no 278 cate no 99 display group 1 day3 Top: 모너프   포슬포슬 knt Skirt: 파인땡큐  판매중지 Outer: MOLLIOLLI https://m molliolli com/product/molliolli mare eco fur coat sky blue/190/category/25/display/1/ day4 Top: The rocket https://m wconcept co kr/Product/301509857 Bottoms: SWEET ONE EIGHTY https://m shopping naver com/designer/stores/100119997/products/6032800775 NaPm ct 3Dkzv7y4kb 7Cci 3Dshopn 7Ctr 3Dsmnp 7Chk 3D50e4f848c9e1250bf29be7be2c6f9a341816a815 7Ctrx 3Dundefined Outer: MOLLIOLLI https://m molliolli com/product/molliolli mare eco fur coat sky blue/190/category/25/display/1/ Shose: UGG https://www balaan co kr/m2/goods/view php goodsno 9993003  daily 렌즈: 오렌즈 비비링 브라운 키: 163cm 마스크 : 비움 스타일핏 컬러마스크  협찬  Music Music by Secret Vacation   I Can Fall In Love Again   https://thmatc co/ l 9E502092 Music provided by 브금대통령 Track : a Little Clown at Champs Elysees    https://youtu be/zw23 hWjmuY Music provided by 브금대통령 Track : Simple Hawaii   https://youtu be/3 lPJ1COT38 Music provided by 브금대통령 Track : Vinyl records   https://youtu be/qZUHbjCg4nA 제주도여행  제주도여행브이로그  브이로그	2022-02-20 00:00:00	https://i.ytimg.com/vi/-DVP8rH8AwY/sddefault.jpg	https://www.youtube.com/watch?v=-DVP8rH8AwY	4박5일 제주도 여행 브이로그    나만 알고싶은 찐맛집   예약제카페   서귀포 가볼만한 곳   엄마랑 제주여행   Jeju vlog.mp4	4박5일 제주도 여행 브이로그    나만 알고싶은 찐맛집   예약제카페   서귀포 가볼만한 곳   엄마랑 제주여행   Jeju vlog.mp3
